,"30/09/2022","30/06/2022","31/03/2022","31/12/2021","30/09/2021","30/06/2021","31/03/2021","31/12/2020","30/09/2020","30/06/2020","31/03/2020","31/12/2019","30/09/2019","30/06/2019","31/03/2019","31/12/2018","30/09/2018","30/06/2018","31/03/2018","31/12/2017","30/09/2017","30/06/2017","31/03/2017","31/12/2016","30/09/2016","30/06/2016","31/03/2016","31/12/2015","30/09/2015","30/06/2015","31/03/2015","31/12/2014","30/09/2014","30/06/2014","31/03/2014","31/12/2013","30/09/2013","30/06/2013","31/03/2013","31/12/2012","30/09/2012","30/06/2012"
"Ativo Total",6.454.900,6.137.225,6.044.828,5.929.910,5.867.100,5.609.529,5.669.593,5.176.777,5.570.520,4.814.436,5.026.070,4.983.545,4.761.196,4.800.939,5.023.946,4.740.971,4.621.332,4.459.510,4.610.199,4.729.857,4.752.448,4.697.072,5.078.279,5.018.723,4.966.150,5.090.446,5.108.277,5.136.789,4.975.788,4.902.324,4.921.915,4.880.080,4.843.260,4.765.652,4.694.424,4.804.693,4.663.349,4.526.204,4.396.561,3.773.681,3.690.901,3.632.412
"Ativo Circulante",4.664.634,4.158.717,4.420.316,4.343.892,4.553.264,4.379.812,4.454.106,3.798.373,4.206.178,3.718.172,3.865.043,3.550.720,3.804.870,3.935.905,4.226.689,3.826.031,3.778.578,3.628.025,3.779.349,3.936.596,3.606.951,3.624.311,3.998.989,4.008.990,3.702.099,3.626.976,3.587.332,3.607.509,3.439.572,3.300.949,3.254.638,3.205.006,3.304.649,3.332.342,3.252.850,3.443.310,3.465.790,3.494.532,3.500.321,3.249.526,3.182.655,3.034.311
"Caixa e Equivalentes de Caixa",23.453,15.911,24.577,42.317,48.620,60.560,134.060,366.322,328.267,586.961,640.165,496.597,250.962,313.821,303.580,390.658,241.607,206.369,324.864,370.709,84.072,11.845,44.869,93.834,94.901,38.569,91.447,120.059,24.883,1.354,8.413,6.474,10.983,17.348,38.306,48.153,33.985,64.347,33.638,38.474,44.552,29.783
"Aplicações Financeiras",712.751,849.187,865.629,899.261,1.065.249,1.234.838,1.320.392,922.582,1.016.870,224.469,358.349,434.795,567.729,321.586,497.966,419.233,381.554,347.670,316.015,272.112,380.840,336.033,534.930,515.082,427.422,539.794,502.651,562.403,573.705,663.245,652.829,714.792,671.961,709.459,607.439,717.394,697.491,505.596,552.104,433.266,431.471,455.242
"Contas a Receber",806.814,1.054.685,1.096.434,1.105.214,785.065,757.301,732.277,664.616,868.733,896.372,889.993,641.994,832.916,1.041.465,973.197,860.828,878.342,791.144,880.780,1.113.625,1.408.726,1.516.634,1.607.638,1.676.853,1.548.276,1.745.487,1.823.186,1.818.879,1.745.860,1.689.788,1.739.807,1.640.415,1.800.587,1.759.275,1.781.542,1.880.015,1.866.206,2.038.615,1.974.042,1.701.883,1.779.039,1.667.794
"Estoques",2.958.822,2.090.081,2.283.314,2.154.127,2.507.974,2.199.132,2.122.359,1.724.136,1.878.050,1.919.278,1.903.624,1.885.639,2.099.322,2.202.669,2.395.799,2.113.529,2.233.330,2.236.170,2.207.034,2.138.418,1.694.914,1.722.626,1.772.616,1.687.091,1.574.502,1.264.306,1.118.744,1.067.522,1.042.484,885.230,747.765,745.778,707.289,722.911,725.772,707.074,755.360,790.813,843.031,987.885,854.908,782.930
"Ativos Biológicos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tributos a Recuperar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.804,7.665,7.026,5.971,11.202,13.117,10.780,8.965,12.427,11.237,8.339,7.015,7.616,9.879,8.908,7.619,13.527,30.897
"Despesas Antecipadas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,98
"Outros Ativos Circulantes",162.794,148.853,150.362,142.973,146.356,127.981,145.018,120.717,114.258,91.092,72.912,91.695,53.941,56.364,56.147,41.783,43.745,46.672,50.656,41.732,38.399,37.173,38.936,36.130,49.194,31.155,44.278,32.675,41.438,48.215,95.044,88.582,101.402,112.112,91.452,83.659,105.132,85.282,88.598,80.399,58.882,67.567
"Ativo Realizável a Longo Prazo",1.734.920,1.923.760,1.570.400,1.534.704,1.264.491,1.187.806,1.177.130,1.339.467,1.325.474,1.059.697,1.125.492,1.393.956,915.765,823.507,753.949,879.751,804.041,791.085,786.541,742.251,1.089.696,1.018.887,1.024.134,953.551,1.212.648,1.411.235,1.454.673,1.475.566,1.480.555,1.547.099,1.613.155,1.617.941,1.493.345,1.379.456,1.387.629,1.301.704,1.136.236,974.899,834.767,494.576,479.747,569.101
"Aplicações Financeiras Avaliadas a Valor Justo",0,0,0,0,0,0,0,0,1.803,8.926,8.926,8.926,8.926,15.000,15.000,15.000,15.000,15.000,15.000,15.000,0,0,0,0,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aplicações Financeiras Avaliadas ao Custo Amortizado",5.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contas a Receber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.083,0,0,0,200.525,180.274,160.286,67.888,131.413,101.768,352.303,291.623,253.467,234.903,352.638,315.470,313.609,373.269,323.093,342.739,435.328,395.553,375.316,305.521,336.694,332.677,265.593,325.997
"Estoques",971.469,751.676,515.070,476.475,673.909,583.470,584.506,636.414,503.876,389.628,394.795,601.822,226.416,220.580,429.936,200.938,179.246,206.137,448.057,443.075,836.387,862.075,892.645,781.857,767.617,1.044.332,1.135.174,1.164.847,1.044.688,1.139.375,1.198.656,1.165.565,1.102.242,996.575,866.201,819.565,690.254,597.354,442.408,75.849,148.890,178.855
"Ativos Biológicos",424.667,842.819,736.434,742.471,267.181,265.745,262.747,381.357,713.108,556.763,609.548,658.657,554.663,450.439,0,543.285,482.912,436.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tributos Diferidos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Despesas Antecipadas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Créditos com Partes Relacionadas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.516,0,0,0,0,0,0,0,0,0,27.342,20.414,19.475,15.800,404,390,684,667,652,635,629,612,589,504,2.008,1.913,1.691,1.647
"Outros Ativos Não Circulantes",122.563,119.968,112.056,106.383,112.587,126.841,118.433,111.560,64.540,68.379,68.670,75.951,125.760,137.488,52.414,69.833,76.651,80.516,122.959,103.902,93.023,88.924,76,69.926,63.832,54.866,46.557,60.016,82.825,91.864,100.206,78.440,67.358,39.507,85.471,85.974,70.077,71.520,53.657,84.137,63.573,62.602
"Investimentos",35.769,31.352,28.980,29.731,32.151,27.817,24.594,26.750,26.115,23.064,20.431,22.145,22.025,20.622,20.438,20.661,23.128,19.472,21.632,26.424,26.850,24.399,24.110,24.370,20.102,21.185,35.105,20.510,20.527,20.490,21.596,22.947,9.469,14.045,17.526,19.746,19.246,20.885,29.632,11,11,11
"Imobilizado",19.223,23.216,24.896,21.288,16.807,13.962,13.567,11.918,12.406,13.039,14.496,15.682,17.302,19.414,21.219,12.604,13.366,14.787,15.712,16.824,20.640,20.098,21.056,24.691,23.541,21.821,22.279,23.904,25.905,24.732,23.544,24.884,26.554,30.823,28.180,31.269,34.202,29.096,24.886,22.814,21.975,23.412
"Intangível",354,180,236,295,387,132,196,269,347,464,608,1.042,1.234,1.491,1.651,1.924,2.219,6.141,6.965,7.762,8.311,9.377,9.990,7.121,7.760,9.229,8.888,9.300,9.229,9.054,8.982,9.302,9.243,8.986,8.239,8.664,7.875,6.792,6.955,6.754,6.513,5.577
"Diferido",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Passivo Total",6.454.900,6.137.225,6.044.828,5.929.910,5.867.100,5.609.529,5.669.593,5.176.777,5.570.520,4.814.436,5.026.070,4.983.545,4.761.196,4.800.939,5.023.946,4.740.971,4.621.332,4.459.510,4.610.199,4.729.857,4.752.448,4.697.072,5.078.279,5.018.723,4.966.150,5.090.446,5.108.277,5.136.789,4.975.788,4.902.324,4.921.915,4.880.080,4.843.260,4.765.652,4.694.424,4.804.693,4.663.349,4.526.204,4.396.561,3.773.681,3.690.901,3.632.412
"Passivo Circulante",1.882.568,1.884.879,2.331.582,2.315.443,2.271.734,1.965.768,1.831.360,1.650.669,1.537.914,1.233.165,1.557.932,1.341.434,1.112.963,1.320.422,1.428.829,1.399.971,1.282.685,1.145.817,1.264.242,1.450.171,1.131.799,1.079.285,1.181.383,1.192.013,1.119.053,1.323.101,1.191.575,1.212.047,1.031.767,962.436,1.073.945,1.017.430,1.073.071,906.633,1.034.654,985.831,938.967,1.069.185,1.003.330,765.036,859.200,928.341
"Obrigações Sociais e Trabalhistas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
