"DATES","30/09/2022","30/06/2022","31/03/2022","31/12/2021","30/09/2021","30/06/2021","31/03/2021","31/12/2020","30/09/2020","30/06/2020","31/03/2020","31/12/2019","30/09/2019","30/06/2019","31/03/2019","31/12/2018","30/09/2018","30/06/2018","31/03/2018","31/12/2017","30/09/2017","30/06/2017","31/03/2017","31/12/2016","30/09/2016","30/06/2016","31/03/2016","31/12/2015","30/09/2015","30/06/2015","31/03/2015","31/12/2014","30/09/2014","30/06/2014","31/03/2014","31/12/2013","30/09/2013","30/06/2013","31/03/2013","31/12/2012","30/09/2012","30/06/2012"
"Receita Bruta de Vendas e/ou Serviços",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deduções da Receita Bruta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Receita Líquida de Vendas e/ou Serviços",689.468,672.437,460.120,543.550,526.430,522.387,683.377,455.034,434.683,374.425,406.878,479.638,357.974,591.564,483.821,365.212,395.071,377.120,337.449,403.771,488.173,381.546,310.460,394.155,362.697,472.970,513.266,661.178,573.770,502.525,467.638,605.079,551.662,573.665,475.489,700.066,566.644,706.228,486.049,585.584,553.364,501.566
"Custo de Bens e/ou Serviços Vendidos",-533.319,-518.024,-344.790,-394.662,-375.100,-380.917,-493.022,-297.665,-317.459,-284.323,-289.135,-365.671,-266.316,-454.859,-350.375,-342.291,-318.157,-322.521,-289.126,-352.934,-396.572,-348.243,-266.043,-309.714,-288.668,-393.331,-414.490,-522.062,-440.829,-369.433,-352.534,-443.248,-374.868,-427.606,-345.933,-500.559,-395.455,-516.455,-351.179,-399.906,-390.066,-370.131
"Resultado Bruto",156.149,154.413,115.330,148.888,151.330,141.470,190.355,157.369,117.224,90.102,117.743,113.967,91.658,136.705,133.446,22.921,76.914,54.599,48.323,50.837,91.601,33.303,44.417,84.441,74.029,79.639,98.776,139.116,132.941,133.092,115.104,161.831,176.794,146.059,129.556,199.507,171.189,189.773,134.870,185.678,163.298,131.435
"Despesas Com Vendas",-42.943,-39.717,-32.313,-37.128,-37.611,-30.888,-36.804,-21.927,-36.135,-21.672,-39.073,-49.760,-44.831,-47.105,-34.603,-42.214,-39.108,-39.852,-25.537,-35.295,-37.394,-44.846,-27.276,-52.675,-38.262,-37.464,-28.332,-61.131,-39.939,-38.762,-33.858,-54.416,-42.281,-42.586,-38.293,-58.410,-42.103,-33.418,-29.461,-35.988,-28.758,-28.197
"Despesas Gerais e Administrativas",-44.012,-44.405,-37.055,-42.285,-41.140,-38.029,-34.537,-31.108,-32.821,-22.013,-34.129,-32.747,-21.616,-34.090,-29.915,-32.246,-34.727,-29.999,-34.535,34.696,-61.635,-62.250,-72.268,-32.231,-34.001,-40.315,-38.091,-38.728,-44.425,-44.152,-45.798,-44.632,-52.871,-50.363,-45.717,-47.681,-42.855,-50.506,-39.332,-43.348,-38.157,-38.916
"Perdas pela Não Recuperabilidade de Ativos ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outras Receitas Operacionais",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.395,177,-2.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outras Despesas Operacionais",-32.362,-10.077,-14.925,-18.022,-15.898,-17.887,-16.901,26.713,5.976,-6.175,-2.344,2.483,-657,-6.863,-9.885,-38.416,-13.250,-21.246,-12.300,-282.828,0,0,-761,-34.789,-16.198,-21.534,-16.122,-51.009,-14.414,-8.057,-5.555,-10.534,-10.760,-7.815,-5.853,-3.235,-4.708,-10.017,-4.885,-6.147,-6.846,-2.066
